,method,test
218,"    public WeavableMethodParameter(final Integer target, final WeavableMethod<T> parent) {
        super(target, parent);
    }","  public void test0()  throws Throwable  {
      Integer integer0 = Integer.getInteger(""UW|>x<'.2}R#%, >Tv"", 1);
      WeavableMethodParameter<Integer> weavableMethodParameter0 = new WeavableMethodParameter<Integer>(integer0, (WeavableMethod<Integer>) null);
  }"
219,"    public final Annotation[] getDeclaredAnnotations() {
        return getAnnotations();
    }","  public void test0()  throws Throwable  {
      WeavablePackage weavablePackage0 = new WeavablePackage((Package) null);
      Annotation[] annotationArray0 = weavablePackage0.getDeclaredAnnotations();
}"
220,"    public String toString() {
        return ""Weavable "" + getTarget().toString();
    }","  public void test1()  throws Throwable  {
      WeavablePackage weavablePackage0 = new WeavablePackage((Package) null);
      WeavableClass<AccessibleObject> weavableClass0 = new WeavableClass<AccessibleObject>((Class<AccessibleObject>) null, weavablePackage0);
      // Undeclared exception!
      try { 
        weavableClass0.toString();
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.evosuite.runtime.System"", e);
      }
  }"
221,"    public final boolean addAnnotations(final Annotation... toAdd) {
        Validate.noNullElements(toAdd);
        return addAnnotations(Arrays.asList(toAdd));
    }","  public void test2()  throws Throwable  {
      WeavablePackage weavablePackage0 = new WeavablePackage((Package) null);
      // Undeclared exception!
      try { 
        weavablePackage0.addAnnotations((Annotation[]) null);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // The validated object is null
         //
         verifyException(""org.apache.commons.lang3.Validate"", e);
      }
  }"
222,"    public final boolean addAnnotations(final Annotation... toAdd) {
        Validate.noNullElements(toAdd);
        return addAnnotations(Arrays.asList(toAdd));
    }","  public void test3()  throws Throwable  {
      Class<Parameter> class0 = Parameter.class;
      WeavablePackage weavablePackage0 = new WeavablePackage((Package) null);
      WeavableClass<Parameter> weavableClass0 = new WeavableClass<Parameter>(class0, weavablePackage0);
      Annotation[] annotationArray0 = new Annotation[8];
      // Undeclared exception!
      try { 
        weavableClass0.addAnnotations(annotationArray0);
        fail(""Expecting exception: IllegalArgumentException"");
      } catch(IllegalArgumentException e) {
         //
         // The validated array contains null element at index: 0
         //
         verifyException(""org.apache.commons.lang3.Validate"", e);
      }
  }"
223,"    public synchronized <T extends Annotation> T getAnnotation(final Class<T> annotationClass) {
        if (annotations == null) {
            return null;
        }
        for (final Annotation prospect : annotations) {
            if (annotationClass.equals(prospect.annotationType())) {
                @SuppressWarnings(""unchecked"")
                final T result = (T) prospect;
                return result;
            }
        }
        return null;
    }","  public void test4()  throws Throwable  {
      WeavablePackage weavablePackage0 = new WeavablePackage((Package) null);
      Class<Annotation> class0 = Annotation.class;
      Annotation annotation0 = weavablePackage0.getAnnotation(class0);
}"
224,"    public final synchronized Annotation[] getAnnotations() {
        if (annotations == null) {
            return EMPTY_ANNOTATION_ARRAY; //NOPMD - no problem sharing zero-length array
        }
        return annotations.toArray(new Annotation[0]);
    }","  public void test5()  throws Throwable  {
      WeavablePackage weavablePackage0 = new WeavablePackage((Package) null);
      Class<Proxy.Type> class0 = Proxy.Type.class;
      WeavableClass<Proxy.Type> weavableClass0 = weavablePackage0.getWeavable(class0);
      Annotation[] annotationArray0 = weavableClass0.getAnnotations();
}"
225,"    public final boolean addAnnotations(final Annotation... toAdd) {
        Validate.noNullElements(toAdd);
        return addAnnotations(Arrays.asList(toAdd));
    }","  public void test6()  throws Throwable  {
      WeavablePackage weavablePackage0 = new WeavablePackage((Package) null);
      Annotation[] annotationArray0 = new Annotation[0];
      boolean boolean0 = weavablePackage0.addAnnotations(annotationArray0);
}"
226,,"  public void test7()  throws Throwable  {
      WeavablePackage weavablePackage0 = new WeavablePackage((Package) null);
      Predicate<Object> predicate0 = Predicate.isEqual((Object) weavablePackage0);
      WeavablePackage weavablePackage1 = new WeavablePackage((Package) null);
      // Undeclared exception!
      try { 
        predicate0.test(weavablePackage1);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.weaver.model.Weavable"", e);
      }
  }"
227,,"  public void test8()  throws Throwable  {
      WeavablePackage weavablePackage0 = new WeavablePackage((Package) null);
      Predicate<Object> predicate0 = Predicate.isEqual((Object) weavablePackage0);
      boolean boolean0 = predicate0.test(weavablePackage0);
}"
228,,"  public void test9()  throws Throwable  {
      WeavablePackage weavablePackage0 = new WeavablePackage((Package) null);
      Vector<Annotation> vector0 = new Vector<Annotation>();
      vector0.add((Annotation) null);
      Predicate<Annotation> predicate0 = Predicate.isEqual((Object) weavablePackage0);
      boolean boolean0 = vector0.removeIf(predicate0);
}"
229,,"  public void test10()  throws Throwable  {
      WeavablePackage weavablePackage0 = new WeavablePackage((Package) null);
      Vector<Annotation> vector0 = new Vector<Annotation>();
      vector0.add((Annotation) null);
      Predicate<Annotation> predicate0 = Predicate.isEqual((Object) weavablePackage0);
      boolean boolean0 = vector0.removeIf(predicate0);
}"
230,"    public boolean isAnnotationPresent(final Class<? extends Annotation> annotationClass) {
        return getAnnotation(annotationClass) != null;
    }","  public void test11()  throws Throwable  {
      WeavablePackage weavablePackage0 = new WeavablePackage((Package) null);
      Class<Annotation> class0 = Annotation.class;
      boolean boolean0 = weavablePackage0.isAnnotationPresent(class0);
}"
231,"    public synchronized <T extends Annotation> T getAnnotation(final Class<T> annotationClass) {
        if (annotations == null) {
            return null;
        }
        for (final Annotation prospect : annotations) {
            if (annotationClass.equals(prospect.annotationType())) {
                @SuppressWarnings(""unchecked"")
                final T result = (T) prospect;
                return result;
            }
        }
        return null;
    }","  public void test12()  throws Throwable  {
      WeavablePackage weavablePackage0 = new WeavablePackage((Package) null);
      Vector<Annotation> vector0 = new Vector<Annotation>();
      weavablePackage0.addAnnotations((Iterable<Annotation>) vector0);
      Class<Annotation> class0 = Annotation.class;
      Annotation annotation0 = weavablePackage0.getAnnotation(class0);
}"
232,"    public final synchronized Annotation[] getAnnotations() {
        if (annotations == null) {
            return EMPTY_ANNOTATION_ARRAY; //NOPMD - no problem sharing zero-length array
        }
        return annotations.toArray(new Annotation[0]);
    }","  public void test13()  throws Throwable  {
      WeavablePackage weavablePackage0 = new WeavablePackage((Package) null);
      Annotation[] annotationArray0 = weavablePackage0.getAnnotations();
}"
233,"    public final boolean addAnnotations(final Annotation... toAdd) {
        Validate.noNullElements(toAdd);
        return addAnnotations(Arrays.asList(toAdd));
    }","  public void test14()  throws Throwable  {
      WeavablePackage weavablePackage0 = new WeavablePackage((Package) null);
      Vector<Annotation> vector0 = new Vector<Annotation>();
      vector0.add((Annotation) null);
      boolean boolean0 = weavablePackage0.addAnnotations((Iterable<Annotation>) vector0);
}"
234,"    public final boolean addAnnotations(final Annotation... toAdd) {
        Validate.noNullElements(toAdd);
        return addAnnotations(Arrays.asList(toAdd));
    }","  public void test15()  throws Throwable  {
      WeavablePackage weavablePackage0 = new WeavablePackage((Package) null);
      Class<AccessibleObject> class0 = AccessibleObject.class;
      WeavableClass<AccessibleObject> weavableClass0 = new WeavableClass<AccessibleObject>(class0, weavablePackage0);
      PriorityQueue<Annotation> priorityQueue0 = new PriorityQueue<Annotation>();
      boolean boolean0 = weavableClass0.addAnnotations((Iterable<Annotation>) priorityQueue0);
}"
235,"    public final boolean addAnnotations(final Annotation... toAdd) {
        Validate.noNullElements(toAdd);
        return addAnnotations(Arrays.asList(toAdd));
    }","  public void test16()  throws Throwable  {
      WeavablePackage weavablePackage0 = new WeavablePackage((Package) null);
      Class<Annotation> class0 = Annotation.class;
      WeavableClass<Annotation> weavableClass0 = new WeavableClass<Annotation>(class0, weavablePackage0);
      boolean boolean0 = weavableClass0.addAnnotations((Iterable<Annotation>) null);
}"
236,"    public int hashCode() {
        return new HashCodeBuilder().append(getTarget()).toHashCode();
    }","  public void test17()  throws Throwable  {
      WeavablePackage weavablePackage0 = new WeavablePackage((Package) null);
      weavablePackage0.hashCode();
  }"
237,"    public String toString() {
        return ""Weavable "" + getTarget().toString();
    }","  public void test18()  throws Throwable  {
      WeavablePackage weavablePackage0 = new WeavablePackage((Package) null);
      Class<AccessibleObject> class0 = AccessibleObject.class;
      WeavableClass<AccessibleObject> weavableClass0 = new WeavableClass<AccessibleObject>(class0, weavablePackage0);
      String string0 = weavableClass0.toString();
}"
238,"    public WeavablePackage getWeavable(final Package pkg) {
        final String key =
            Optional.ofNullable(pkg).map(Package::getName).orElse("""");

        if (packages.containsKey(key)) {
            return packages.get(key);
        }
        final WeavablePackage result = new WeavablePackage(pkg);
        final WeavablePackage faster = packages.putIfAbsent(key, result);
        return faster == null ? result : faster;
    }","  public void test0()  throws Throwable  {
      ScanResult scanResult0 = new ScanResult();
      // Undeclared exception!
      try { 
        scanResult0.getWeavable((Class<WeavablePackage>) null);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.weaver.model.ScanResult"", e);
      }
  }"
239,"    public AnnotatedElements<WeavableClass<?>> getClassesAssignableTo(final Class<?> supertype) {
        Validate.notNull(supertype, ""supertype"");

        return new Projection<WeavablePackage, WeavableClass<?>>(getPackages()) {

            @Override
            protected Iterable<WeavableClass<?>> childrenOf(final WeavablePackage parent) {
                return parent.getClasses();
            }

            @Override
            public Iterator<WeavableClass<?>> iterator() {
                final Iterator<WeavableClass<?>> toWrap = super.iterator();
                return new Iterator<WeavableClass<?>>() {
                    {
                        read();
                    }

                    private WeavableClass<?> next;

                    private void read() {
                        while (toWrap.hasNext()) {
                            final WeavableClass<?> test = toWrap.next();
                            if (supertype.isAssignableFrom(test.getTarget())) {
                                next = test;
                                return;
                            }
                        }
                        next = null;
                    }

                    @Override
                    public boolean hasNext() {
                        return next != null;
                    }

                    @Override
                    public WeavableClass<?> next() {
                        try {
                            return next;
                        } finally {
                            read();
                        }
                    }

                    @Override
                    public void remove() {
                        toWrap.remove();
                    }
                };
            }
        };
    }","  public void test1()  throws Throwable  {
      ScanResult scanResult0 = new ScanResult();
      // Undeclared exception!
      try { 
        scanResult0.getClassesAssignableTo((Class<?>) null);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // supertype
         //
         verifyException(""org.apache.commons.lang3.Validate"", e);
      }
  }"
240,"    public AnnotatedElements<WeavableClass<?>> getClasses() {
        return new Projection<WeavablePackage, WeavableClass<?>>(getPackages()) {

            @Override
            protected Iterable<WeavableClass<?>> childrenOf(final WeavablePackage parent) {
                return parent.getClasses();
            }
        };
    }","  public void test2()  throws Throwable  {
      ScanResult scanResult0 = new ScanResult();
      AnnotatedElements<WeavableClass<?>> annotatedElements0 = scanResult0.getClasses();
}"
241,"    public AnnotatedElements<WeavableMethod<?>> getMethods() {
        return new Projection<WeavableClass<?>, WeavableMethod<?>>(getClasses()) {

            @Override
            protected Iterable<WeavableMethod<?>> childrenOf(final WeavableClass<?> parent) {
                @SuppressWarnings({ ""unchecked"", ""rawtypes"" })
                final Iterable<WeavableMethod<?>> result = ((WeavableClass) parent).getMethods();
                return result;
            }
        };
    }","  public void test3()  throws Throwable  {
      ScanResult scanResult0 = new ScanResult();
      AnnotatedElements<WeavableMethod<?>> annotatedElements0 = scanResult0.getMethods();
}"
242,"    public AnnotatedElements<WeavablePackage> getPackages() {
        return new AnnotatedElements<WeavablePackage>() {

            @Override
            public Iterator<WeavablePackage> iterator() {
                return packages.values().iterator();
            }

            @Override
            public AnnotatedElements<WeavablePackage> with(final Class<? extends Annotation> annotationType) {
                return new AnnotatedWith<>(packages.values(), annotationType);
            }
        };
    }","  public void test4()  throws Throwable  {
      ScanResult scanResult0 = new ScanResult();
      AnnotatedElements<WeavablePackage> annotatedElements0 = scanResult0.getPackages();
}"
243,"    public AnnotatedElements<WeavableConstructor<?>> getConstructors() {
        return new Projection<WeavableClass<?>, WeavableConstructor<?>>(getClasses()) {

            @Override
            protected Iterable<WeavableConstructor<?>> childrenOf(final WeavableClass<?> parent) {
                @SuppressWarnings({ ""unchecked"", ""rawtypes"" })
                final Iterable<WeavableConstructor<?>> result = ((WeavableClass) parent).getConstructors();
                return result;
            }
        };
    }","  public void test5()  throws Throwable  {
      ScanResult scanResult0 = new ScanResult();
      AnnotatedElements<WeavableConstructor<?>> annotatedElements0 = scanResult0.getConstructors();
}"
244,"    public WeavablePackage getWeavable(final Package pkg) {
        final String key =
            Optional.ofNullable(pkg).map(Package::getName).orElse("""");

        if (packages.containsKey(key)) {
            return packages.get(key);
        }
        final WeavablePackage result = new WeavablePackage(pkg);
        final WeavablePackage faster = packages.putIfAbsent(key, result);
        return faster == null ? result : faster;
    }","  public void test6()  throws Throwable  {
      ScanResult scanResult0 = new ScanResult();
      WeavablePackage weavablePackage0 = scanResult0.getWeavable((Package) null);
      WeavablePackage weavablePackage1 = scanResult0.getWeavable((Package) null);
}"
245,"    public WeavablePackage getWeavable(final Package pkg) {
        final String key =
            Optional.ofNullable(pkg).map(Package::getName).orElse("""");

        if (packages.containsKey(key)) {
            return packages.get(key);
        }
        final WeavablePackage result = new WeavablePackage(pkg);
        final WeavablePackage faster = packages.putIfAbsent(key, result);
        return faster == null ? result : faster;
    }","  public void test7()  throws Throwable  {
      ScanResult scanResult0 = new ScanResult();
      // Undeclared exception!
      try { 
        scanResult0.getWeavable((Constructor<WeavableConstructor<String>>) null);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.weaver.model.ScanResult"", e);
      }
  }"
246,"    public WeavablePackage getWeavable(final Package pkg) {
        final String key =
            Optional.ofNullable(pkg).map(Package::getName).orElse("""");

        if (packages.containsKey(key)) {
            return packages.get(key);
        }
        final WeavablePackage result = new WeavablePackage(pkg);
        final WeavablePackage faster = packages.putIfAbsent(key, result);
        return faster == null ? result : faster;
    }","  public void test8()  throws Throwable  {
      ScanResult scanResult0 = new ScanResult();
      Class<String> class0 = String.class;
      WeavableClass<String> weavableClass0 = scanResult0.getWeavable(class0);
}"
247,"    public WeavablePackage getWeavable(final Package pkg) {
        final String key =
            Optional.ofNullable(pkg).map(Package::getName).orElse("""");

        if (packages.containsKey(key)) {
            return packages.get(key);
        }
        final WeavablePackage result = new WeavablePackage(pkg);
        final WeavablePackage faster = packages.putIfAbsent(key, result);
        return faster == null ? result : faster;
    }","  public void test9()  throws Throwable  {
      ScanResult scanResult0 = new ScanResult();
      // Undeclared exception!
      try { 
        scanResult0.getWeavable((Method) null);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.weaver.model.ScanResult"", e);
      }
  }"
248,"    public WeavablePackage getWeavable(final Package pkg) {
        final String key =
            Optional.ofNullable(pkg).map(Package::getName).orElse("""");

        if (packages.containsKey(key)) {
            return packages.get(key);
        }
        final WeavablePackage result = new WeavablePackage(pkg);
        final WeavablePackage faster = packages.putIfAbsent(key, result);
        return faster == null ? result : faster;
    }","  public void test10()  throws Throwable  {
      ScanResult scanResult0 = new ScanResult();
      // Undeclared exception!
      try { 
        scanResult0.getWeavable((Field) null);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.weaver.model.ScanResult"", e);
      }
  }"
249,"    public AnnotatedElements<WeavableField<?>> getFields() {
        return new Projection<WeavableClass<?>, WeavableField<?>>(getClasses()) {

            @Override
            protected Iterable<WeavableField<?>> childrenOf(final WeavableClass<?> parent) {
                @SuppressWarnings({ ""unchecked"", ""rawtypes"" })
                final Iterable<WeavableField<?>> result = ((WeavableClass) parent).getFields();
                return result;
            }
        };
    }","  public void test11()  throws Throwable  {
      ScanResult scanResult0 = new ScanResult();
      AnnotatedElements<WeavableField<?>> annotatedElements0 = scanResult0.getFields();
}"
250,"    public AnnotatedElements<WeavableClass<?>> getClassesAssignableTo(final Class<?> supertype) {
        Validate.notNull(supertype, ""supertype"");

        return new Projection<WeavablePackage, WeavableClass<?>>(getPackages()) {

            @Override
            protected Iterable<WeavableClass<?>> childrenOf(final WeavablePackage parent) {
                return parent.getClasses();
            }

            @Override
            public Iterator<WeavableClass<?>> iterator() {
                final Iterator<WeavableClass<?>> toWrap = super.iterator();
                return new Iterator<WeavableClass<?>>() {
                    {
                        read();
                    }

                    private WeavableClass<?> next;

                    private void read() {
                        while (toWrap.hasNext()) {
                            final WeavableClass<?> test = toWrap.next();
                            if (supertype.isAssignableFrom(test.getTarget())) {
                                next = test;
                                return;
                            }
                        }
                        next = null;
                    }

                    @Override
                    public boolean hasNext() {
                        return next != null;
                    }

                    @Override
                    public WeavableClass<?> next() {
                        try {
                            return next;
                        } finally {
                            read();
                        }
                    }

                    @Override
                    public void remove() {
                        toWrap.remove();
                    }
                };
            }
        };
    }","  public void test12()  throws Throwable  {
      ScanResult scanResult0 = new ScanResult();
      Class<String> class0 = String.class;
      AnnotatedElements<WeavableClass<?>> annotatedElements0 = scanResult0.getClassesAssignableTo(class0);
}"
251,"    public AnnotatedElements<WeavableConstructorParameter<?>> getConstructorParameters() {

        return new Projection<WeavableConstructor<?>, WeavableConstructorParameter<?>>(getConstructors()) {

            @Override
            protected Iterable<WeavableConstructorParameter<?>> childrenOf(final WeavableConstructor<?> parent) {
                @SuppressWarnings({ ""unchecked"", ""rawtypes"" })
                final Iterable<WeavableConstructorParameter<?>> result = ((WeavableConstructor) parent).getParameters();
                return result;
            }
        };
    }","  public void test13()  throws Throwable  {
      ScanResult scanResult0 = new ScanResult();
      AnnotatedElements<WeavableConstructorParameter<?>> annotatedElements0 = scanResult0.getConstructorParameters();
}"
252,"    public AnnotatedElements<WeavableMethodParameter<?>> getMethodParameters() {
        return new Projection<WeavableMethod<?>, WeavableMethodParameter<?>>(getMethods()) {

            @Override
            protected Iterable<WeavableMethodParameter<?>> childrenOf(final WeavableMethod<?> parent) {
                @SuppressWarnings({ ""unchecked"", ""rawtypes"" })
                final Iterable<WeavableMethodParameter<?>> result = ((WeavableMethod) parent).getParameters();
                return result;
            }
        };
    }","  public void test14()  throws Throwable  {
      ScanResult scanResult0 = new ScanResult();
      AnnotatedElements<WeavableMethodParameter<?>> annotatedElements0 = scanResult0.getMethodParameters();
}"
253,"    public WeavableMethod(final Method target, final WeavableClass<T> parent) {
        super(target, parent);
    }","  public void test0()  throws Throwable  {
      WeavableMethod<Integer> weavableMethod0 = null;
      try {
        weavableMethod0 = new WeavableMethod<Integer>((Method) null, (WeavableClass<Integer>) null);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.weaver.model.WeavableMethod"", e);
      }
  }"
254,"    protected int localCompareTo(final WeavableField<T> obj) {
        return getTarget().getName().compareTo(obj.getTarget().getName());
    }","  public void test0()  throws Throwable  {
      WeavablePackage weavablePackage0 = new WeavablePackage((Package) null);
      Class<Object> class0 = Object.class;
      WeavableClass<Object> weavableClass0 = weavablePackage0.getWeavable(class0);
      WeavableField<Object> weavableField0 = new WeavableField<Object>((Field) null, weavableClass0);
      // Undeclared exception!
      try { 
        weavableField0.localCompareTo(weavableField0);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.weaver.model.WeavableField"", e);
      }
  }"
255,"    public final int compareTo(final SELF obj) {
        final int result = getParent().compareTo(obj.getParent());
        return result == 0 ? localCompareTo(obj) : result;
    }","  public void test0()  throws Throwable  {
      Class<String> class0 = String.class;
      WeavablePackage weavablePackage0 = new WeavablePackage((Package) null);
      WeavableClass<String> weavableClass0 = new WeavableClass<String>(class0, weavablePackage0);
      WeavableClass<String> weavableClass1 = weavablePackage0.getWeavable(class0);
      int int0 = weavableClass1.compareTo(weavableClass0);
}"
256,"    public final int compareTo(final SELF obj) {
        final int result = getParent().compareTo(obj.getParent());
        return result == 0 ? localCompareTo(obj) : result;
    }","  public void test1()  throws Throwable  {
      Class<String> class0 = String.class;
      WeavableClass<String> weavableClass0 = new WeavableClass<String>(class0, (WeavablePackage) null);
      WeavablePackage weavablePackage0 = new WeavablePackage((Package) null);
      WeavableClass<String> weavableClass1 = weavablePackage0.getWeavable(class0);
      int int0 = weavableClass1.compareTo(weavableClass0);
}"
257,"    public final int compareTo(final SELF obj) {
        final int result = getParent().compareTo(obj.getParent());
        return result == 0 ? localCompareTo(obj) : result;
    }","  public void test2()  throws Throwable  {
      Class<String> class0 = String.class;
      WeavableClass<String> weavableClass0 = new WeavableClass<String>(class0, (WeavablePackage) null);
      // Undeclared exception!
      try { 
        weavableClass0.compareTo(weavableClass0);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.weaver.model.NestedWeavable"", e);
      }
  }"
258,"    public static WeaveInterest of(final Class<? extends Annotation> annotationType, final ElementType target) {
        return new WeaveInterest(annotationType, target);
    }","  public void test0()  throws Throwable  {
      Class<Annotation> class0 = Annotation.class;
      ElementType elementType0 = ElementType.TYPE;
      WeaveInterest weaveInterest0 = WeaveInterest.of(class0, elementType0);
}"
259,"    public static <P extends WeaveLifecycleProvider<?>> Iterable<P> sort(final Iterable<P> providers) {
        return new SortWorker<P>().sort(providers);
    }","  public void test0()  throws Throwable  {
      // Undeclared exception!
      try { 
        Providers.sort((Iterable<ProvidersTest.Z>) null);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // The validated object is null
         //
         verifyException(""org.apache.commons.lang3.Validate"", e);
      }
  }"
260,"    public static <P extends WeaveLifecycleProvider<?>> Iterable<P> sort(final Iterable<P> providers) {
        return new SortWorker<P>().sort(providers);
    }","  public void test1()  throws Throwable  {
      ArrayList<ProvidersTest.A> arrayList0 = new ArrayList<ProvidersTest.A>();
      arrayList0.add((ProvidersTest.A) null);
      // Undeclared exception!
      try { 
        Providers.sort((Iterable<ProvidersTest.A>) arrayList0);
        fail(""Expecting exception: IllegalArgumentException"");
      } catch(IllegalArgumentException e) {
         //
         // The validated collection contains null element at index: 0
         //
         verifyException(""org.apache.commons.lang3.Validate"", e);
      }
  }"
261,"    public static <P extends WeaveLifecycleProvider<?>> Iterable<P> sort(final Iterable<P> providers) {
        return new SortWorker<P>().sort(providers);
    }","  public void test2()  throws Throwable  {
      Stack<ProvidersTest.X> stack0 = new Stack<ProvidersTest.X>();
      ProvidersTest providersTest0 = new ProvidersTest();
      ProvidersTest.X providersTest_X0 = providersTest0.new X();
      stack0.add(providersTest_X0);
      // Undeclared exception!
      try { 
        Providers.sort((Iterable<ProvidersTest.X>) stack0);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.weaver.utils.Providers$SortWorker"", e);
      }
  }"
262,"    public static <A extends Annotation> A instanceOf(final Class<A> annotationType, final Map<String, ?> elements) {
        final ClassLoader proxyClassLoader = Validate.notNull(annotationType, ""annotationType"").getClassLoader();
        final InvocationHandler invocationHandler = new InvocationHandler() {

            @Override
            @SuppressWarnings(""PMD.UseVarargs"") // overridden method
            public Object invoke(final Object proxy, final Method method, final Object[] args) throws Throwable {
                if (method.getDeclaringClass().equals(annotationType)) {
                    if (elements.containsKey(method.getName())) {
                        return elements.get(method.getName());
                    }
                    return method.getDefaultValue();
                }
                if (""annotationType"".equals(method.getName()) && method.getParameterTypes().length == 0) {
                    return annotationType;
                }
                if (""equals"".equals(method.getName())
                    && Arrays.equals(method.getParameterTypes(), new Class[] { Object.class })) {
                    return AnnotationUtils.equals((Annotation) proxy, (Annotation) args[0]);
                }
                if (""hashCode"".equals(method.getName()) && method.getParameterTypes().length == 0) {
                    return AnnotationUtils.hashCode((Annotation) proxy);
                }
                if (""toString"".equals(method.getName()) && method.getParameterTypes().length == 0) {
                    return AnnotationUtils.toString((Annotation) proxy);
                }
                throw new UnsupportedOperationException();
            }
        };
        @SuppressWarnings(""unchecked"")
        final A result =
            (A) Proxy.newProxyInstance(proxyClassLoader, new Class[] { annotationType }, invocationHandler);
        return result;
    }","  public void test0()  throws Throwable  {
      HashMap<String, Annotation> hashMap0 = new HashMap<String, Annotation>();
      // Undeclared exception!
      try { 
        Annotations.instanceOf((Class<Annotation>) null, (Map<String, ?>) hashMap0);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // annotationType
         //
         verifyException(""org.apache.commons.lang3.Validate"", e);
      }
  }"
263,"    public static <A extends Annotation> A instanceOf(final Class<A> annotationType, final Map<String, ?> elements) {
        final ClassLoader proxyClassLoader = Validate.notNull(annotationType, ""annotationType"").getClassLoader();
        final InvocationHandler invocationHandler = new InvocationHandler() {

            @Override
            @SuppressWarnings(""PMD.UseVarargs"") // overridden method
            public Object invoke(final Object proxy, final Method method, final Object[] args) throws Throwable {
                if (method.getDeclaringClass().equals(annotationType)) {
                    if (elements.containsKey(method.getName())) {
                        return elements.get(method.getName());
                    }
                    return method.getDefaultValue();
                }
                if (""annotationType"".equals(method.getName()) && method.getParameterTypes().length == 0) {
                    return annotationType;
                }
                if (""equals"".equals(method.getName())
                    && Arrays.equals(method.getParameterTypes(), new Class[] { Object.class })) {
                    return AnnotationUtils.equals((Annotation) proxy, (Annotation) args[0]);
                }
                if (""hashCode"".equals(method.getName()) && method.getParameterTypes().length == 0) {
                    return AnnotationUtils.hashCode((Annotation) proxy);
                }
                if (""toString"".equals(method.getName()) && method.getParameterTypes().length == 0) {
                    return AnnotationUtils.toString((Annotation) proxy);
                }
                throw new UnsupportedOperationException();
            }
        };
        @SuppressWarnings(""unchecked"")
        final A result =
            (A) Proxy.newProxyInstance(proxyClassLoader, new Class[] { annotationType }, invocationHandler);
        return result;
    }","  public void test1()  throws Throwable  {
      Class<Annotation> class0 = Annotation.class;
      HashMap<String, String> hashMap0 = new HashMap<String, String>();
      Proxy proxy0 = (Proxy)Annotations.instanceOf(class0, (Map<String, ?>) hashMap0);
      // Undeclared exception!
      try { 
        hashMap0.remove((Object) proxy0);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.evosuite.runtime.util.ReflectionUtils"", e);
      }
  }"
